P01,10A,10B,12B,12D,8D,-,-
P02,11C,12E,6D,7A,7E,-,-
P03,5D,11C,6E,8B,8E,-,-
P04,6C,7A,7C,7C,-,-,-
P05,10E,11B,12A,9C,12D,-,-
P06,12E,5D,5E,9A,-,-,-
P07,8A,10E,5D,-,9C,-,-
P08,11A,12C,5C,6D,-,-,-
P09,6B,11A,11C,6C,-,-,-
P10,10D,12B,11B,8D,-,-,-
P11,5A,5B,6C,8F,-,-,-
P12,11B,7C,-,12B,-,-,-
P13,7D,10D,8B,-,10E,-,-
P14,10C,9B,10D,-,7C,-,-
P15,8B,8D,8E,10D,-,-,-
P16,5C,10A,11A,-,9A,-,-
P17,7E,6C,8C,-,-,10D,-
P18,5B,6B,8D,-,-,7C,-
P19,6E,5A,8F,9E,-,-,-
P20,12D,7B,7A,5D,-,-,-
P21,11E,-,7B,-,9E,-,-
P22,8C,8A,6B,-,8F,-,-
P23,9A,10C,7D,8C,-,-,-
P24,6A,9D,-,6B,-,-,7C
P25,12C,5C,-,-,7A,-,-
P26,12B,6D,10A,12C,-,-,-
P27,11D,7D,-,-,8B,-,-
P28,-,11D,-,11B,12B,7D,-
P29,10B,8E,12C,8A,-,-,-
P30,8E,-,5B,5C,-,-,-
P31,5E,-,9B,11C,6C,-,-
P32,-,11E,11E,5A,-,-,-
P33,9D,-,-,10A,-,9A,-
P34,-,-,11D,5B,-,12B,-
P35,-,6A,10B,9D,-,6C,-
P36,12A,-,6A,-,-,9D,-
P37,-,-,-,11E,11B,6B,-
P38,-,5E,5A,-,5D,-,-
P39,8F,12D,-,11A,-,-,-
P40,-,9A,-,11D,-,8F,-
P41,-,7E,-,-,11E,12D,-
P42,7B,-,-,10B,9B,-,-
P43,-,-,10E,6A,10B,-,-
P44,-,-,8A,7B,5E,-,-
P45,7A,-,-,7D,7B,12C,-
P46,9E,-,10C,-,6B,-,-
P47,9B,-,7E,-,8A,-,-
P48,8D,6E,-,-,8C,9E,-
P49,9C,-,-,6E,-,8E,-
P50,-,8C,9C,-,-,9B,-
P51,7C,-,-,8E,-,-,-
P52,-,-,12E,5E,11C,11D,-
P53,6D,9C,-,-,-,-,-
P54,-,8F,-,-,6E,12E,-
P55,-,12A,-,-,-,5D,8C
P56,-,-,-,-,6D,8D,-
P57,-,-,-,-,6A,7A,7B
P58,-,-,-,-,5B,8A,-
P59,-,8B,-,-,7D,6D,-
P60,-,9E,12D,-,12E,11C,-
P61,-,-,-,10C,-,7E,7A
P63,-,-,-,12A,11A,11B,-
P64,-,-,-,-,11D,9C,-
P65,-,-,9A,-,-,6E,-
P67,-,-,-,7E,-,-,-
P68,-,-,-,-,5C,8C,-
P69,-,-,-,9B,9D,5C,-
P70,-,-,9D,-,12A,11A,-
P72,-,-,-,-,10A,10C,-
P73,-,-,9E,12E,12C,11E,-
P74,-,-,-,10E,10C,-,-
P75,-,-,-,-,10D,10B,-
P76,-,-,-,-,-,7B,-

